Bug_report
ID			              Identification_number
Title_or_Summary	    Brief_description_of_the_bug
Project			          Project_name_where_the_bug_was_found
Detected_in_Version	  The_exact_version_of_the_software_containing_the_bug
Date_Detected		      Date_of_discovery
Severity		          Severity_of_the_bug
Priority		          Urgency_of_bug_fixing
Status			          At_what_stage_is_the_bug
Detected_by		        The_creator_of_the_bug_report
Assigned_to		        Who_will_fix_the_bug
Test_case_Failed	    Steps_to_reproduce_the_bug
Actual_result_and_expected_result	      How_the_program_works_now_and_how_the_program_should_actually_work
Attachment		        Links_screenshots_that_will_help_you_understand_the_essence_of_the_problem
